component 1,component 2,component 3,component 4,component 5,class
9.854045,3.0565698,4.168701,4.232459,0.41405815,QSO
8.006089,5.58753,2.5949788,2.5154152,3.0321026,GALAXY
4.7506475,2.3820562,7.1339316,5.2129226,10.138789,GALAXY
2.5994499,7.6499014,7.843454,6.1112695,7.6539035,GALAXY
5.872532,7.3064675,2.6226315,-0.48869556,5.165027,STAR
8.7852,1.7350186,3.4541156,7.1665106,2.5787418,STAR
6.2860956,4.639839,6.3039613,5.1855483,0.9199508,STAR
5.167675,1.5321484,6.69424,6.3242464,9.622473,GALAXY
7.462967,5.6178713,5.4289927,5.0241494,1.9819372,STAR
7.5741796,5.3154845,3.0804334,2.7437706,2.7700324,GALAXY
5.7579103,5.3181934,5.2312555,4.7901893,4.239291,GALAXY
1.1549599,7.136541,8.745173,4.6658673,2.9593978,STAR
5.9848104,5.399896,6.4130287,2.6879468,10.735052,GALAXY
7.6428456,4.0448523,5.437769,1.4850309,2.4022038,QSO
1.8487302,1.2937568,1.7901962,7.139053,4.1738834,QSO
6.5715365,6.909194,0.47564748,0.83026856,4.1651497,STAR
2.1317077,4.945928,8.077987,5.6138625,8.10663,GALAXY
5.361108,4.073959,8.100981,5.9267716,1.0217155,GALAXY
6.91831,7.051511,1.3699389,1.537935,5.0897455,STAR
5.10587,2.1902752,3.5639365,7.50799,9.190665,GALAXY
6.8428855,5.903854,6.0488477,2.2378232,10.461751,GALAXY
6.6917076,7.0300927,0.6721205,1.0617688,4.6364975,QSO
3.824193,8.503486,6.8878536,7.1316867,1.8736569,GALAXY
6.118112,1.5008913,5.1058345,6.614192,10.292197,STAR
4.963325,8.434453,6.0367312,3.3795338,3.9521112,GALAXY
2.8650587,2.9576979,2.4913535,8.325208,7.8237166,QSO
1.9665353,9.82737,5.539111,3.8095376,4.2929864,GALAXY
3.2897227,5.1641283,7.5782094,5.0206532,9.132827,GALAXY
7.286214,6.2683263,1.5219715,1.6996849,3.3928325,GALAXY
3.0458574,1.4467038,2.1213844,7.508303,3.1630948,QSO
3.2832386,2.5173192,6.7236195,6.150205,6.8707795,GALAXY
7.741933,8.145484,6.0390077,3.7297115,8.623801,GALAXY
6.054312,6.5714407,5.1662006,0.14579964,1.7107071,GALAXY
6.9911346,5.6921344,6.2288113,-0.6755424,2.486385,STAR
2.5015244,6.876913,7.6627636,5.8313923,7.7078414,GALAXY
4.2478275,3.8479927,7.1343045,4.3799567,10.19502,GALAXY
4.8259687,11.3643265,6.390913,4.6294694,4.189116,GALAXY
7.751089,1.8451861,3.0999172,7.2651224,3.5679977,STAR
-0.3366636,8.451498,6.250596,3.8331847,4.566051,GALAXY
3.5698655,6.247177,7.659126,4.911158,9.376838,GALAXY
2.0394385,1.2144232,1.113902,6.4262843,4.612213,QSO
8.984405,3.5476,5.0901346,2.5765488,0.08910627,QSO
10.047987,3.9162462,3.7474346,4.4420657,0.2200986,QSO
2.611509,2.8348804,7.1116843,5.9944005,6.0583286,QSO
7.54444,4.1447945,5.619313,0.8391403,3.0350666,STAR
6.3234715,7.36281,6.870381,4.0409284,3.6271858,STAR
3.3559668,5.629372,7.6026864,4.9981685,9.187801,GALAXY
0.59793484,9.585034,5.8732038,3.2377198,4.5067425,GALAXY
7.5425396,7.107547,5.5573516,2.9366767,9.003389,GALAXY
8.024685,5.4931836,4.9180264,1.939356,9.951514,GALAXY
9.608619,2.0055633,4.059626,5.032066,1.7547764,STAR
5.885972,9.024576,5.9850016,7.1336846,4.0938573,GALAXY
3.080041,1.4749266,3.5353618,6.8836856,5.430882,GALAXY
7.1057234,4.7108617,4.479094,3.2541575,0.6714485,GALAXY
7.642895,4.3886724,6.2338996,-0.06788589,2.6029487,STAR
6.2385273,4.4672003,4.669338,2.2655668,10.016667,QSO
8.318454,5.4881296,4.127696,4.124045,2.6557937,GALAXY
5.266951,9.219074,5.8667426,3.6693432,4.008743,STAR
9.491244,3.4074671,3.6212218,6.08146,0.45245644,QSO
6.8294616,7.7805076,8.534647,5.497158,3.4137971,GALAXY
8.895156,5.6278777,3.601596,3.862413,2.98539,STAR
9.042254,3.2644408,4.0336742,5.4319863,0.34840944,QSO
5.4066625,6.6913776,4.345191,0.30290923,2.5112047,GALAXY
5.6322913,1.0016311,0.48670003,8.715202,3.0067244,QSO
1.9487224,9.320346,6.116987,4.5092273,3.8969164,GALAXY
5.7433743,2.61279,3.2706983,6.7425814,2.4502401,GALAXY
0.12509269,6.5309825,7.0814176,4.9343386,5.518186,STAR
9.572691,4.1199617,4.501336,2.8893142,-0.15366241,QSO
4.936987,6.342875,4.3084464,1.019449,2.5843573,QSO
6.4092717,1.217785,1.1479793,9.17587,2.4824617,QSO
3.869716,1.3661187,5.1478844,6.9146647,6.2818294,GALAXY
6.0524693,7.1607704,5.0131083,-1.4116788,3.8895638,STAR
0.2898815,7.46348,7.9740734,5.4731555,5.111584,GALAXY
5.185842,7.7538133,6.1929855,6.3258147,3.1764379,STAR
6.1733546,7.1912184,1.698861,0.42156094,5.3657904,GALAXY
2.4404318,6.11741,8.1196165,5.560593,8.615075,GALAXY
2.160511,4.355721,8.139275,5.654481,7.97202,GALAXY
2.7828572,6.9234657,6.8720307,1.8003052,3.942708,GALAXY
8.905914,2.4372907,4.550402,3.715509,2.010161,STAR
3.6779542,1.7119261,4.5588393,7.3141413,7.4230022,GALAXY
7.55076,4.1056566,2.9035344,3.7438335,9.194414,GALAXY
6.968326,6.2988515,6.693275,4.697248,2.941321,STAR
1.0571526,4.107945,7.736158,5.4469013,6.310177,GALAXY
4.1839523,3.015239,3.4187782,7.06684,7.336625,GALAXY
8.16132,6.8009443,1.4536322,2.5689726,4.302378,STAR
0.681967,4.872426,8.008701,5.520578,6.8255634,GALAXY
3.1802347,8.214932,7.3609533,6.958957,1.5036017,GALAXY
3.3366876,2.119673,3.6624925,7.831119,7.7977085,QSO
0.7841268,7.5537605,8.100843,4.5519643,4.045327,GALAXY
3.8752096,8.867718,5.0156574,2.8797348,4.276022,GALAXY
5.511522,5.132331,9.669414,7.0093822,2.5190406,GALAXY
0.60929686,6.3243213,7.8363113,5.68508,6.596535,GALAXY
0.40733984,8.212261,7.3935947,3.4863238,4.2918253,GALAXY
7.000278,7.462316,6.063888,3.0631468,9.279866,GALAXY
3.5106127,5.556368,7.5674624,4.8554745,9.388787,GALAXY
6.345767,3.037751,4.7997913,2.8328555,11.068435,GALAXY
7.1892157,2.8818405,3.766559,5.6451764,3.9284296,STAR
4.1197314,7.9719386,6.847119,6.5280824,1.7481691,GALAXY
2.2892585,6.3636947,8.502715,3.8766415,2.2703698,GALAXY
0.213988,7.3841777,7.8255463,5.3738604,5.23414,GALAXY
7.818257,6.8746552,3.667675,3.8470302,3.847137,STAR
2.1878011,10.494529,4.843972,3.1763394,4.575241,GALAXY
9.262094,1.8700721,3.8216686,5.885368,2.250444,GALAXY
1.2430835,2.1605823,1.0251782,7.5667305,5.2208724,QSO
6.0057855,7.182026,9.9708395,6.9005775,3.551081,GALAXY
6.4367385,8.815411,9.641214,6.322461,3.9541132,STAR
9.92018,3.9853287,3.7412715,4.3673797,0.23594576,QSO
7.0574465,3.0224767,2.748004,3.3474007,10.025585,GALAXY
5.772346,6.789481,6.885781,3.3121066,10.230731,GALAXY
4.2756195,7.656575,7.330793,5.053493,8.900287,GALAXY
5.006986,5.4662232,6.593152,3.3391743,10.337357,GALAXY
7.2363377,2.7074616,3.1648648,3.4429262,10.613219,GALAXY
2.2733684,8.609759,7.756596,7.3458014,3.7428102,GALAXY
3.144869,6.1466393,7.446454,5.2771482,8.520803,GALAXY
1.5537236,2.177745,2.2345173,7.760253,6.8842745,QSO
8.931797,2.5490818,2.5745385,8.2768755,1.84498,GALAXY
6.5581326,1.3911011,1.0295053,8.849987,2.4366567,QSO
2.491611,1.057806,2.449991,6.5531883,4.565012,GALAXY
6.040444,8.146689,6.5348983,4.3494515,8.773668,GALAXY
9.2682905,3.9806037,4.905264,2.5229664,-0.21182626,QSO
6.0578895,9.2021675,9.555711,6.287991,4.0501046,GALAXY
1.0961322,4.337065,6.737223,4.7034497,5.2481585,GALAXY
7.6355886,7.9867344,5.7941422,4.0265126,8.204495,GALAXY
2.5052981,2.090559,2.1764944,7.8097167,4.5247927,GALAXY
6.27868,6.9677687,2.5389276,0.3804169,5.2929983,STAR
6.4047756,6.491634,4.121168,-0.36888567,5.065329,STAR
5.1878576,4.0451202,2.3451138,7.632657,6.1459455,STAR
8.3206625,1.9466273,2.13005,8.613326,2.6571174,QSO
9.746512,3.4910867,3.0767841,6.7606874,0.93772644,QSO
5.775045,3.503913,3.1303303,6.3195896,5.1893773,STAR
5.5097814,7.5840898,2.6533165,-0.84188277,4.5907574,STAR
2.266737,6.0664425,8.828457,3.7099543,2.044376,GALAXY
3.977189,2.3149467,7.3775625,5.9092274,8.6277,GALAXY
5.215935,3.139858,2.8780239,6.974548,8.724146,GALAXY
8.665041,3.6287708,5.583135,1.466821,0.6813592,STAR
8.528284,2.5726202,1.9364421,8.52309,1.9837573,QSO
6.3086767,4.435286,5.399683,4.3914404,1.2992314,GALAXY
7.00956,2.4477055,1.6072938,8.48357,1.8028247,QSO
2.2015955,6.1065364,8.087945,5.6583304,8.3270855,GALAXY
5.7719536,7.3933315,4.123606,-1.1959332,4.0993104,GALAXY
7.9097815,3.0562994,4.7951946,3.2511506,2.900539,STAR
6.8622494,5.134511,6.0256267,5.239422,1.3025168,STAR
1.6533355,6.2205086,9.18252,3.7914734,2.1907747,STAR
9.717625,2.2185822,4.2366767,4.4854765,1.3048629,STAR
0.016107416,7.378433,7.7150087,5.2049747,5.221572,GALAXY
8.3796015,2.1122012,2.1440978,8.010048,2.8864193,GALAXY
7.66707,2.3465195,1.5534492,8.741652,1.9467977,QSO
1.8400339,7.5875783,7.7651978,6.30555,4.7377143,STAR
1.8065271,4.41968,8.462929,5.700675,7.9864283,GALAXY
0.93424004,5.6640563,5.3756843,3.4548593,4.218308,GALAXY
4.769485,2.6975143,6.8203764,4.743958,10.352734,QSO
6.5587144,1.9118577,3.6232984,5.6864405,10.782819,GALAXY
6.0840406,7.258575,5.5872016,5.938835,4.5438504,STAR
9.30868,2.3264723,3.5158482,7.1423016,1.5348291,STAR
6.8824687,4.8348627,4.3819256,3.741898,2.0824158,GALAXY
6.5116363,5.324286,7.7633743,5.6020308,1.8963484,GALAXY
2.2359848,5.365045,7.8968363,5.5894437,8.074483,GALAXY
8.498133,6.5366616,1.8799123,2.8432457,3.9266148,GALAXY
8.330402,2.6731997,1.7366025,8.262673,2.1718528,QSO
5.799601,7.0934243,4.869876,-0.81566805,2.8473172,GALAXY
6.4583616,7.167115,1.2086533,0.9288181,5.2730174,GALAXY
8.288274,3.4599583,5.7880125,1.0619217,1.7166325,STAR
-0.12003,6.96063,6.643505,4.51732,5.0802326,GALAXY
7.1363993,5.0753856,4.756391,1.7770842,10.003251,GALAXY
0.64044774,4.7773557,7.839907,5.426429,6.595148,GALAXY
8.559835,2.2579722,2.7623413,8.542396,1.8462532,QSO
5.848549,7.3435745,1.967176,-0.22261547,5.3033643,STAR
4.5223417,4.797944,9.140479,6.7293544,2.2374332,GALAXY
6.084298,7.256906,1.6751473,0.26203105,5.2087708,STAR
10.111412,3.6073346,3.5858734,5.0554523,0.49971506,QSO
7.502909,6.393771,0.9763906,1.5732147,3.5375764,STAR
8.299363,3.70186,3.9399707,5.3939657,0.41219956,QSO
1.7289417,4.9139447,8.329966,5.685324,7.962807,GALAXY
5.959932,1.2010785,0.79448324,8.8326235,3.4611745,QSO
8.891812,5.721004,3.1317499,3.4452257,3.195435,GALAXY
5.6789966,4.3754954,2.7484152,7.0848165,6.461099,STAR
6.1375017,5.240979,9.48773,6.7683496,2.415206,GALAXY
3.7743692,1.623744,5.7151594,6.801488,7.1156774,QSO
6.407978,6.618957,3.3179524,0.43104088,5.255812,STAR
3.7459984,2.314534,7.753126,5.9686723,8.427589,GALAXY
7.2757144,6.4646444,4.7438602,4.935739,6.9901004,STAR
4.856604,3.9363863,6.7317085,4.986788,0.7653893,GALAXY
1.8790084,7.1136994,7.3110065,1.688679,4.016798,STAR
6.819743,8.493477,8.591636,5.482662,3.6373143,GALAXY
6.73801,4.643568,5.0590544,4.3258753,1.6536617,GALAXY
4.9947433,4.77476,9.477754,6.9499598,2.2778788,GALAXY
6.7603064,5.877809,5.472204,-0.65680933,4.093758,GALAXY
9.231096,4.015156,4.044059,3.6422985,-0.07832818,QSO
1.9983894,5.3697085,5.204634,2.998334,3.9072921,GALAXY
4.1760416,1.3110825,0.12473698,8.262248,3.8556938,GALAXY
7.8020387,2.2526627,3.2230604,8.130133,1.6713762,QSO
8.039605,3.2458272,3.1183877,7.366474,1.0609701,QSO
3.1278653,8.635544,7.1996365,7.3217583,3.3551614,GALAXY
2.9132876,7.386205,7.5350704,5.9168262,7.6934905,GALAXY
5.1587377,4.4983435,9.374037,6.8671737,2.0196896,GALAXY
3.8418581,9.012787,6.872018,7.3598065,5.061022,GALAXY
7.885443,7.209023,5.5160894,2.9102466,8.926719,GALAXY
6.4041204,9.6200695,6.501795,6.2658477,7.034497,GALAXY
6.910432,1.4705517,1.9596153,8.585292,3.8461692,STAR
8.680031,4.3600683,4.3558936,3.5374112,-0.33665925,QSO
1.7104894,1.2188511,1.6348554,7.0078735,4.3226433,QSO
7.1113334,6.8943067,5.6990285,2.6800547,9.371773,GALAXY
7.4972034,5.3958206,4.5068874,2.1272972,9.494369,GALAXY
3.005322,6.1590466,4.6754146,3.2549746,2.9113538,GALAXY
1.9198055,10.157647,4.866529,2.8042433,4.6191125,GALAXY
6.8367887,2.9152453,3.3622475,2.785294,10.4261875,GALAXY
2.5406432,7.9684763,7.8564596,6.3141093,7.254799,GALAXY
8.637766,6.0865426,1.584391,2.279287,3.460303,GALAXY
-0.07657249,6.4586186,6.536124,4.5058045,5.188183,GALAXY
4.9041533,0.7714705,0.28281805,7.7051177,2.5393767,QSO
2.506685,6.163477,7.9914446,2.1256719,3.3073852,STAR
3.5300014,2.7887816,0.9229522,8.530706,4.893835,GALAXY
5.917305,2.0677016,4.2385235,5.253412,10.508765,GALAXY
3.7090595,1.1948369,2.0378954,7.190408,2.7667809,GALAXY
9.030878,2.6595135,5.0079513,2.6667664,1.3449632,STAR
3.4512475,7.356865,6.303673,2.325847,3.9377186,GALAXY
2.393855,1.1502361,0.61858,6.682126,4.5053105,QSO
8.128491,7.2746563,5.800434,2.8065853,9.279608,GALAXY
9.242592,3.201848,4.989573,2.6548572,0.28455213,QSO
6.4067855,9.437516,6.6286683,5.7706947,7.6851397,GALAXY
1.9765519,2.512701,2.8023677,8.146603,7.1567335,QSO
4.779867,10.534206,5.173591,3.8999913,4.230929,GALAXY
9.629449,3.5335004,3.6548553,5.7052703,0.32523105,STAR
6.1489754,5.3035564,9.153028,6.499215,2.329536,GALAXY
1.8362621,4.077556,6.494677,4.743335,4.902765,GALAXY
7.3672705,4.345667,3.0497782,4.1457763,8.9358835,GALAXY
8.044361,6.837579,3.1560934,3.6495688,3.9579067,STAR
4.9408073,1.2067114,6.7759247,6.8419914,8.920921,GALAXY
0.8394823,6.970486,8.720942,2.439664,3.5663402,GALAXY
6.616691,8.995707,9.257649,5.9906473,3.9035091,GALAXY
5.01442,1.7447424,7.0552874,5.942273,9.795454,GALAXY
5.040936,1.3824236,7.145192,6.450242,9.38646,GALAXY
1.3194926,6.9012766,7.888749,6.017598,6.73265,GALAXY
3.2624798,2.1729963,0.36010367,8.521872,4.4285965,STAR
6.279607,6.7540636,4.6037817,-0.94666415,4.6731296,GALAXY
3.0157285,7.0875096,6.6886935,2.006391,3.922673,GALAXY
6.406816,3.4103582,2.2973218,6.0899873,9.240542,GALAXY
8.349761,6.542389,5.1170006,2.8242447,9.057402,STAR
3.8096325,6.925915,7.2683673,5.2728972,2.0655918,STAR
3.21166,7.2564564,6.438532,2.1395109,3.9442782,GALAXY
4.882319,11.435952,6.1006017,4.5368924,4.224738,STAR
4.761192,0.7464094,0.2768534,7.5707545,2.587434,QSO
5.768362,10.083736,8.826819,5.77281,4.0983653,GALAXY
7.6115937,8.922066,6.026026,5.285564,7.2808533,GALAXY
5.0584354,3.3073242,2.459472,7.0242295,5.7856336,GALAXY
2.0776925,9.228781,6.2330856,4.5923553,3.8534968,GALAXY
3.2562864,1.9273719,3.8081386,7.335716,6.869061,QSO
4.364729,8.8981,6.9805837,6.573444,6.829675,GALAXY
7.092198,5.6519275,5.4818697,1.1279725,0.52878314,QSO
7.945213,3.8908849,2.9544036,2.9536414,9.589847,GALAXY
6.292996,4.2158823,2.7911217,5.8846636,8.358723,QSO
4.574748,3.6796072,5.093418,5.434855,8.429508,STAR
1.7756317,6.168805,8.664157,2.2541575,3.1663902,GALAXY
7.8516045,4.041501,6.1789064,0.19892956,2.2921388,STAR
0.25099018,7.997877,7.037111,3.9833143,4.565293,GALAXY
5.066421,1.1362505,0.21534982,7.7743773,3.4894297,QSO
6.309878,2.7072518,4.0228143,3.0708134,10.782143,GALAXY
6.551285,6.996564,1.9436221,1.0552726,5.385329,STAR
8.138741,2.7977264,4.680315,3.5554376,2.7234328,STAR
8.162124,4.3245945,4.9958305,2.8091266,-0.06943594,QSO
5.1593633,6.9078007,6.530636,4.0270395,9.246984,GALAXY
6.866471,5.5573616,5.644329,0.6111113,1.301802,STAR
1.8124555,6.4960213,9.054203,4.731387,1.57341,GALAXY
7.243899,5.6258106,6.1808395,-0.5219372,2.1012769,GALAXY
7.2194967,6.0116005,5.9264073,0.093791164,0.7703631,QSO
3.1528542,8.741313,7.2176867,7.313538,4.575113,GALAXY
2.5666764,3.3866563,7.711613,5.835088,7.2678695,GALAXY
9.208411,3.588258,4.932477,2.7362103,-0.0755508,STAR
0.9326867,4.5415845,6.527308,4.461673,5.096215,GALAXY
0.29992247,7.8844337,8.696122,5.634635,4.0882063,GALAXY
4.7216015,8.453063,7.200305,5.4666705,8.404231,GALAXY
4.679182,1.3454835,1.2141894,9.0046425,2.9437034,STAR
1.8355753,4.477128,8.312437,5.6964307,7.879517,GALAXY
4.460137,1.7637866,0.957699,7.609075,4.5119157,GALAXY
1.1463566,5.756041,8.104582,5.7500587,7.3834977,GALAXY
5.6125402,5.8359427,4.928835,3.3862727,2.7360396,GALAXY
0.813107,4.930163,6.232758,4.161973,4.913275,GALAXY
0.21677738,7.5200953,7.804371,5.065302,4.8631706,STAR
3.0998836,1.1867968,3.4021406,6.754126,5.2955422,GALAXY
3.3335226,0.787406,0.31939375,6.966702,3.360949,QSO
-0.021635499,6.664939,7.7392364,5.4636407,6.1413946,GALAXY
8.287463,7.8512154,5.6692834,3.8169925,8.2841015,GALAXY
9.654717,2.0331354,4.018751,5.16547,1.6825534,STAR
4.0949206,1.428388,0.82750034,8.873018,3.299183,QSO
5.416564,4.141491,5.6316147,4.3160124,0.9778613,GALAXY
1.279894,7.435192,8.294592,5.5663,3.6600988,GALAXY
6.1222596,4.6466675,4.5498714,3.6285877,1.8943338,GALAXY
10.016512,3.6845887,3.4865992,5.2832985,0.45464048,QSO
1.0365614,8.100357,8.589551,6.4912295,3.6005447,GALAXY
5.9938855,8.848644,6.3023915,5.988815,6.852915,GALAXY
2.7003675,4.8019686,7.1014924,5.4801683,7.3715577,QSO
3.6448512,6.9960985,7.8940687,5.6483088,3.1897726,QSO
1.4084343,2.8471131,1.417716,8.1231785,6.070965,GALAXY
6.501395,6.568628,5.7783356,-1.2707084,3.3766785,STAR
3.667184,1.4772044,5.8438435,6.785355,6.6232214,GALAXY
6.9660454,1.3585708,1.5897559,9.252124,2.6377795,STAR
2.0292265,6.286644,8.206764,2.0019033,3.408449,GALAXY
1.997964,1.4561173,1.0786939,7.3082104,3.6584942,QSO
5.266854,6.3797736,6.30998,3.6439543,9.5039015,GALAXY
7.041954,7.477072,6.5094733,2.9667406,9.848741,GALAXY
8.293859,5.54238,4.165047,4.1555853,2.6690505,GALAXY
1.9700952,9.22648,6.155951,4.5389156,3.875232,GALAXY
4.9205875,9.701985,8.974183,5.9256988,4.0204444,GALAXY
4.5675635,0.82186544,0.06027853,7.469845,2.754648,QSO
1.2272787,1.3286716,1.8532497,6.7657237,4.8107753,QSO
4.949158,4.1555967,6.1913695,4.598476,1.0645669,GALAXY
9.371713,1.829939,3.7384744,6.06252,2.2520897,STAR
1.322408,2.180734,2.5998902,7.8337693,6.1307783,GALAXY
6.9291124,5.339817,5.6636925,1.9740043,10.559096,GALAXY
0.628,7.613873,8.189505,5.848519,4.8933716,GALAXY
7.427568,3.4809868,2.9462764,2.735936,9.833409,GALAXY
5.4532847,1.277201,5.8107843,7.101812,9.544438,GALAXY
1.3377877,4.1522775,8.247157,5.7037873,7.1613355,GALAXY
3.906773,9.372397,6.920408,7.6274734,4.8584104,GALAXY
3.981983,9.010339,6.7661514,7.441986,4.3159747,GALAXY
4.727005,2.365116,3.4439864,7.649425,8.861924,GALAXY
8.726295,2.8263035,3.6770148,6.926146,0.95057166,QSO
6.5134416,6.870093,5.8722115,-0.87724966,1.8823591,QSO
3.3589633,2.8435597,0.866468,8.488623,4.9635167,QSO
1.3624933,1.9740599,0.90946335,7.6360655,4.5683417,QSO
1.1701026,4.1537857,7.1130223,5.0940294,5.6403294,GALAXY
1.500511,1.0527186,1.4562304,6.7285376,4.6931405,GALAXY
7.836347,4.685509,3.563369,2.8302684,9.253587,GALAXY
5.9923472,10.144317,9.062676,5.8254585,4.1090684,GALAXY
2.3893614,1.1755234,3.0901866,6.862022,5.5622525,GALAXY
2.4166079,3.668732,7.422543,5.73376,6.92511,GALAXY
6.747696,8.2206745,6.1071715,4.601571,8.07084,GALAXY
1.1576872,7.265496,8.563268,4.898386,3.2439027,STAR
8.662242,3.1015007,5.352049,1.8666632,1.5299929,STAR
9.201722,2.1387653,3.0616643,6.8448877,2.4384232,QSO
7.2269177,5.7889743,5.7733297,4.9850316,2.1979237,STAR
5.2080264,10.02133,5.6371193,3.865215,4.101746,STAR
7.894739,5.0555677,3.9184244,3.660409,2.5235028,GALAXY
4.1540565,1.7033682,3.9971619,7.7065363,8.166401,QSO
6.6681385,2.3192394,3.815788,3.7435575,11.004629,GALAXY
5.5224657,1.6794587,5.265564,6.4900265,9.971455,GALAXY
5.569625,7.3608327,4.4969068,-0.78325427,2.8665535,QSO
6.1998796,1.5864712,5.534056,5.861856,10.799914,GALAXY
6.1988077,8.76965,9.848859,6.51969,4.0152597,GALAXY
5.5845857,7.3403506,4.190321,-0.8217534,3.3285024,GALAXY
7.484591,4.546481,3.3822913,3.4426146,9.066505,GALAXY
3.77294,8.385781,6.9461493,6.932367,2.2395532,GALAXY
3.027087,6.4433737,7.3751626,5.4642653,8.055535,STAR
3.2089937,0.96883124,1.2653202,7.4395485,2.753141,GALAXY
4.6061172,5.570699,7.324771,3.9114377,10.361135,GALAXY
3.297215,6.7037477,7.6825385,5.264738,8.898209,GALAXY
8.679426,6.3505054,2.2035491,3.0171192,3.739586,GALAXY
7.2269096,2.3409882,2.658648,8.593692,1.4906343,QSO
3.657939,1.8887321,5.9609203,6.551405,6.931653,GALAXY
5.5550976,3.072729,4.937012,3.2704856,10.622416,GALAXY
8.066584,5.084724,3.5625148,3.333321,2.695639,GALAXY
4.3670826,11.543762,5.763817,4.4527545,4.288555,GALAXY
5.245249,4.137255,8.160815,5.9451447,1.1570406,GALAXY
1.6803242,1.8775523,1.0093757,7.18451,5.527767,GALAXY
0.8091015,7.631936,8.11545,6.196475,5.5485334,GALAXY
6.7199583,5.1567044,5.0773377,1.846562,10.149917,GALAXY
2.8124173,2.5649586,7.1670785,6.1420465,6.2033997,GALAXY
5.717427,1.9295416,3.8206964,7.3521204,9.828452,GALAXY
5.581842,7.28705,4.2449937,-0.8101133,3.168865,GALAXY
6.3969474,3.1516736,3.5987794,6.27426,1.8333381,GALAXY
5.7567105,1.5279411,5.1095166,6.808004,10.070779,GALAXY
0.9759367,8.113134,7.3356633,3.2311835,4.112256,STAR
5.0416546,5.0749917,6.7615805,3.404152,10.636249,GALAXY
8.592738,5.6415343,3.410159,3.5750833,3.0473068,GALAXY
2.6319268,5.280011,8.044234,5.4061832,8.767566,GALAXY
3.8804069,1.8444788,0.9190619,8.766791,3.8073413,QSO
5.4355836,9.341646,9.518851,6.3001003,4.0676503,GALAXY
9.571573,3.78754,3.8561108,4.1761055,-0.013971257,QSO
1.9250877,7.80755,7.8260293,6.503825,6.19898,GALAXY
4.8584423,8.684761,6.31533,7.179831,2.6514876,GALAXY
8.553066,4.4637055,4.7675166,2.8076394,-0.35728338,QSO
5.5814104,3.6673956,2.8831625,7.2895536,5.222942,QSO
4.1423116,1.2621757,1.5117959,7.096029,2.8011239,QSO
1.4754562,1.4491205,0.88958323,6.928983,5.1371984,QSO
1.6221462,8.06092,6.3737926,1.4099979,4.5090294,GALAXY
4.4888535,10.982601,5.085814,4.064154,4.303465,GALAXY
6.6977296,6.3826113,5.513881,3.2402627,4.0176516,STAR
6.072788,6.851356,5.276185,-0.8750321,2.7918155,QSO
4.564202,6.041968,6.6104517,4.1615334,3.199988,STAR
0.33767995,5.769995,5.494296,3.5847156,4.40283,GALAXY
6.5601363,9.099011,6.066058,6.32917,6.189601,GALAXY
5.31072,7.197483,3.4839408,-0.24377458,3.1917136,QSO
8.304593,4.971196,5.057649,1.9844629,-0.26303196,QSO
5.992814,1.4745458,1.1049135,8.681719,3.9030092,STAR
1.6589736,6.3851604,8.471833,2.1261647,3.3755963,GALAXY
3.0099537,1.0416145,1.1352975,7.2738376,2.777748,QSO
7.00263,6.938006,2.2190208,1.8823446,5.0097175,GALAXY
3.3888423,10.425406,6.981979,4.9199286,4.0614085,GALAXY
7.1909766,2.868351,2.355135,7.6138234,1.8031106,GALAXY
6.508689,9.180332,6.368466,5.7985563,7.301501,GALAXY
